style_code,name,brand,date,retail_price,colorway,story,wants,name_join,release_month,release_dow,wmns,collab,retro,kids,colorway_nlp,main_color,resale_price
314996-101,Nike Air Foamposite One Snakeskin,Nike,4/15/19,220,Sail/Black-Habanero Red-Black,"Equipped with an eye-catching upper, this Air Foamposite One comes covered in a black and sail snakeskin textured material with black leather detailing on the eyestay that wraps all around the ankle. Additional black detailing can be seen on the tongue, laces, and inner liner while Habanero Red lands on the varios branding throughout the shoe, running down the tongue, on the pull tabs, and lastly on the rubber outsole.",2281,nike air foamposite one snakeskin,Apr,Monday,FALSE,FALSE,FALSE,FALSE,sail black habanero red black,Black,305
BV4580-400,Undercover x Nike SFB Mountain Obsidian University Red,Nike,4/15/19,350,Obsidian/University Red-Dark Obsidian,"The Undercover x Nike SFB Mountain Obsidian/University Red is a collaboration from designer Jun Takahashi’s and Nike. Adding his own spin with an additional toggle lacing system and nylon straps, the silhouette is also detailed with “The New Warriors” branded across the straps. Finally, Undercover logos on the heels, co-branding on the insoles and its usual mesh upper and rugged outsole completes the design.",37,undercover x nike sfb mountain obsidian university red,Apr,Monday,FALSE,TRUE,FALSE,FALSE,obsidian university red dark obsidian,Blue,192
BV4580-001,Undercover x Nike SFB Mountain Black,Nike,4/15/19,350,Black/Sail-Black,"The Undercover x Nike SFB Mountain Black is Introduced in a mixture of Black/Sail-Black. Undercover designer Jun Takahashi adds his twist to the design with an additional toggle lacing system and nylon straps. Another detail includes “The New Warriors” branded across the straps with Undercover logos on the heels, followed by co-branding on the insoles. Finally, its mesh upper and rugged outsole tops it all off.",70,undercover x nike sfb mountain black,Apr,Monday,FALSE,TRUE,FALSE,FALSE,black sail black,Black,231
AO2607-900,Nike PG 3 Mamba Mentality,Nike,4/13/19,110,Multi-Color/Opti Yellow,"The Nike PG 3 Mamba Mentality comes covered in a black, yellow, grey, tan upper with a geometric pattern dominating a large portion of the shoe. Black overlays on the midfoot and heel keep the momentum going with large gold Swooshes landing on the lateral midsole. Paul George branding on the tongue and heels along with a yellow rubber outsole complete the look.",179,nike pg 3 mamba mentality,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,multi color opti yellow,Multi-Color,109
AO2918-102,Nike Kyrie 5 Mamba Mentality,Nike,4/13/19,130,White/Cyber,"The Nike Kyrie 5 Mamba Mentality is a new rendition of Kyrie Irving’s signature silhouette that will be celebrating Mamba Day 2019. Covered in a color scheme of White and Cyber, the shoe sports neutral uppers with a hint of snakeskin detailing as a nod to Kobe Bryant’s alternate ego. Finally, hits of purple and neon green, along with red speckling on the heel and midsole are applied as a tribute to the 2009 Joker-inspired “Chaos” Zoom Kobe 5.

GS pictured above.",271,nike kyrie 5 mamba mentality,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white cyber,White,107
CI1502-001,Nike Air Max 98 On Air La Mezcla,Nike,4/13/19,200,White/Brown,"The Nike Air Max 98 “La Mezcla” is a new and exclusive iteration of the retro runner designed by Queens native and winner of NYC’s On Air competition from 2018, Gabrielle Serrano. Like the big city, the shoe sports a diverse mixture of hues with a gradient on the upper to represent the different race, ethnicity and cultural background of NYC. White fades to tan, light brown and black across the upper, while a textured mudguard, mismatching laces of light blue and lime green, along with matching swooshes and laces are detailed on the base. Finally, custom insoles, a white midsole and light blue Air Max cushioning completes the style.",723,nike air max 98 on air la mezcla,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white brown,Brown,177
CI1504-100,Nike Air Max 97 On Air London Summer of Love,Nike,4/13/19,200,White/Green-Orange,"The Nike Air Max 97 London Summer of Love was designed by visual artist Jasmine Lasode. Sporting a vibrant color scheme of orange, green, blue, neon and purple hues across its upper, this iteration celebrates summer in the city and love, as Lasode used a personal memory of her time in London’s Primrose Hill as the source of her inspiration. Finally, the runner’s white mesh base acts as a canvas while finishing touches include “97P” printed in a pattern on the wavy stripe overlay, along with “Good Chat” detailed on the pull tabs.",2271,nike air max 97 on air london summer of love,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white green orange,Orange,220
CI1503-001,Nike Air Max 97 On Air Neon Seoul,Nike,4/13/19,200,Black/Blue-Red,"The Nike Air Max 97 Neon Seoul is a hybrid iteration of the popular silhouette that was designed by Gwang Shin, one of the winners of Nike’s On Air contest. The shoe is inspired by the city’s neon signs and comes covered in a matte black leather base with the highlight neon red and blue colors used across its wavy synthetic overlay that is also laid atop a white underlay for the upper. The colors also draw inspiration from the Taeguk symbol, followed by neon red outlining the Swooshes and Seoul branding located on the left tongue and right insole to complete the design.",1103,nike air max 97 on air neon seoul,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,black blue red,Red,239
CI1505-001,Nike Air Max 1 On Air Tokyo Maze,Nike,4/13/19,150,White/Black,"Designed by Yuta Takuman, this special colorway of the Air Max 1 honors the dizzying urban labyrinth of colorful tube lines that shoot beneath Tokyo. Embossed leather represents the city’s concrete surface, while the red bubble pays homage to the iconic Tokyo Tower.  The shoe comes covered in a full black and white maze-like upper and has also been hit with colorful rainbow laces. Additional features include mismatched black and white tongues and insoles, as well as black midsoles and translucent outsoles that read “TOKYO MAZE.”",472,nike air max 1 on air tokyo maze,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,white black,Black,205
CI1508-400,Nike Air Max 97 On Air Shanghai Kaleidoscope,Nike,4/13/19,200,Blue/White-Red,"Designed by Cashu Ru, the Nike Air Max 97 Shanghai Kaleidoscope reflects Ru’s impression of the clouds floating along Shanghai’s skies: shifting and dissipating to create new forms and shapes. The special iteration of the Air Max 97 comes with a light shade of blue covering the entire upper which has been done in a translucent material along with suede detailing on the mudguard. Additional details include multiple pull tabs on the tongue and heel, red Swoosh branding on the side panels, tongue, and insoles, and a white midsole.",1233,nike air max 97 on air shanghai kaleidoscope,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,blue white red,Blue,496
CI1506-001,Nike Air VaporMax Plus On Air Paris Works in Progress,Nike,4/13/19,240,Grey/White-Yellow,"This Nike Air VaporMax Plus “Paris Works in Progress” is a new iteration of the silhouette designed by NYC native Lou Matheron, and it’s part of Nike’s upcoming On Air collection. With the sneaker sporting a clean theme of white/silver, the model is inspired by images of an under-construction Parisian courthouse and the colors of the job site have been reimagined on the model. Highlight details include a buckle strap that wraps across the midfoot that features an elastic band on the tongue, followed by bolted yellow Swooshes on the outer side panels, orange/white striped insoles, and an icy blue VaporMax sole to entire shoe, along with a very unique deconstructed Nike Swoosh logos on the sides.",449,nike air vapormax plus on air paris works in progress,Apr,Saturday,FALSE,FALSE,FALSE,FALSE,grey white yellow,White,227
